transaction_id,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,month_year,risk_level,hour,time_segment,last_15_mins,last_15_mins_non_fraud
T3068356,ACC167707,ACC619502,127.8,payment,online,Singapore,atm,0,-0.96,17,0.48,card,183.212.110.179,D2659978,2023-01,High risk,1,Morning,0.0,18.0
T1823061,ACC211970,ACC578577,1521.74,deposit,other,London,pos,0,0.79,19,0.84,UPI,71.124.139.21,D5123359,2023-01,High risk,1,Morning,0.0,19.0
T3063118,ACC304032,ACC494246,48.84,transfer,travel,Dubai,web,0,0.88,9,0.76,card,141.159.20.159,D9385099,2023-01,Medium risk,1,Morning,0.0,20.0
T3232790,ACC298524,ACC755571,7.6,payment,retail,Singapore,pos,0,-0.13,14,0.82,card,138.70.193.73,D5335204,2023-01,Medium risk,1,Morning,0.0,15.0
T2092648,ACC928447,ACC149402,527.04,deposit,entertainment,Singapore,atm,0,-1.65,5,0.26,UPI,250.74.247.190,D4907241,2023-01,Low risk,1,Morning,0.0,15.0
T3456177,ACC273764,ACC273223,742.82,deposit,other,London,web,0,1.23,14,0.68,wire_transfer,62.66.45.35,D7495811,2023-01,Medium risk,1,Morning,0.0,16.0
T4970497,ACC488613,ACC923400,1170.45,deposit,restaurant,Singapore,web,0,2.0,20,0.16,ACH,89.101.129.68,D5505550,2023-01,High risk,1,Morning,0.0,17.0
T2778640,ACC219023,ACC509399,23.95,transfer,grocery,Berlin,atm,0,-0.87,6,0.21,card,43.0.222.222,D3656717,2023-01,Low risk,1,Morning,0.0,18.0
T4468452,ACC956443,ACC796423,10.6,payment,travel,Tokyo,pos,0,0.28,1,0.25,ACH,229.21.89.182,D6847472,2023-01,Low risk,1,Morning,0.0,19.0
T2926419,ACC596617,ACC395581,19.17,transfer,utilities,Berlin,atm,0,-0.78,19,0.46,card,70.136.179.3,D6445101,2023-01,High risk,1,Morning,0.0,19.0
T3713686,ACC361130,ACC740730,16.64,payment,restaurant,Toronto,atm,0,-0.41,15,0.89,ACH,151.203.179.153,D8548768,2023-01,High risk,1,Morning,0.0,16.0
T3623417,ACC838755,ACC194590,11.53,transfer,retail,Berlin,pos,0,0.77,5,0.96,wire_transfer,248.147.110.16,D9199227,2023-01,Low risk,1,Morning,0.0,14.0
T532620,ACC844951,ACC621157,0.01,withdrawal,online,London,atm,0,-0.34,16,0.35,wire_transfer,120.143.158.182,D7312170,2023-01,High risk,1,Morning,0.0,15.0
T2398902,ACC782280,ACC801080,11.69,transfer,grocery,London,atm,0,-1.28,11,0.0,wire_transfer,211.38.2.93,D3101129,2023-01,Medium risk,1,Morning,0.0,15.0
T2080253,ACC855653,ACC761386,68.39,payment,grocery,London,pos,0,-0.64,13,0.44,card,168.106.240.137,D2428713,2023-01,Medium risk,1,Morning,0.0,16.0
T1731883,ACC314899,ACC862634,8.57,transfer,grocery,New York,web,0,-0.16,2,0.39,wire_transfer,1.151.58.155,D5658378,2023-01,Low risk,1,Morning,0.0,17.0
T306754,ACC626734,ACC591581,238.29,payment,retail,Singapore,web,0,0.98,2,0.32,UPI,106.106.202.225,D2911350,2023-01,Low risk,1,Morning,0.0,15.0
T2984481,ACC967179,ACC529761,1719.17,deposit,retail,Berlin,pos,0,0.94,7,0.41,wire_transfer,18.123.192.18,D4448863,2023-01,Low risk,1,Morning,0.0,15.0
T2940582,ACC155570,ACC868933,598.4,withdrawal,utilities,Toronto,mobile,0,-0.57,4,0.05,UPI,155.72.24.9,D1881322,2023-01,Low risk,1,Morning,0.0,16.0
T1310018,ACC236684,ACC827361,192.74,withdrawal,entertainment,London,mobile,1,-0.5,18,0.28,wire_transfer,158.170.9.138,D1251166,2023-01,High risk,1,Morning,1.0,16.0
T3618102,ACC681102,ACC791116,20.38,transfer,grocery,Singapore,web,0,-0.5,4,0.08,ACH,203.240.179.133,D4616412,2023-01,Low risk,1,Morning,1.0,17.0
T4199809,ACC556935,ACC260263,10.7,transfer,other,Tokyo,web,0,-0.94,5,0.87,card,129.7.193.101,D9230255,2023-01,Low risk,1,Morning,1.0,11.0
T917426,ACC305850,ACC590154,535.15,withdrawal,other,Berlin,atm,0,-0.84,3,0.69,card,129.166.199.208,D1731206,2023-01,Low risk,1,Morning,1.0,12.0
T4097803,ACC710076,ACC948982,1264.31,deposit,grocery,New York,mobile,0,-0.15,6,0.9,card,97.82.10.40,D5371795,2023-01,Low risk,1,Morning,1.0,13.0
T3968153,ACC302906,ACC393479,333.97,withdrawal,online,Tokyo,mobile,0,-1.0,10,0.86,card,95.234.138.131,D9932972,2023-01,Medium risk,1,Morning,1.0,13.0
T2952794,ACC251682,ACC279090,143.79,withdrawal,grocery,New York,atm,1,0.74,19,0.12,wire_transfer,54.47.58.249,D9956913,2023-01,High risk,1,Morning,2.0,9.0
T1640115,ACC664488,ACC712592,316.68,payment,utilities,Berlin,atm,0,0.2,4,0.96,UPI,160.36.135.37,D7544784,2023-01,Low risk,1,Morning,2.0,8.0
T954238,ACC931438,ACC586370,35.76,payment,travel,New York,pos,0,0.23,12,0.15,UPI,43.22.241.92,D6655169,2023-01,Medium risk,2,Morning,2.0,9.0
T245210,ACC652399,ACC788060,33.62,transfer,retail,London,pos,0,1.5,10,0.68,ACH,224.67.86.63,D6597651,2023-01,Medium risk,2,Morning,2.0,10.0
T5037113,ACC543901,ACC816954,41.94,transfer,restaurant,Sydney,web,0,1.14,9,0.73,card,109.191.27.67,D7039787,2023-01,Medium risk,2,Morning,2.0,10.0
T1306368,ACC799643,ACC474367,666.96,withdrawal,grocery,New York,web,0,1.2,1,0.92,wire_transfer,25.58.161.101,D2776816,2023-01,Low risk,2,Morning,2.0,11.0
T2001202,ACC639720,ACC330925,562.25,deposit,travel,Sydney,mobile,1,-0.09,14,0.88,card,249.186.34.18,D1483682,2023-01,Medium risk,2,Morning,2.0,10.0
T3758506,ACC142975,ACC256919,84.98,transfer,restaurant,New York,atm,0,-1.03,20,0.87,ACH,89.104.160.176,D9264202,2023-01,High risk,2,Morning,2.0,11.0
T1085786,ACC997828,ACC809105,13.66,transfer,retail,London,pos,0,-0.74,15,0.9,wire_transfer,56.157.183.236,D9711533,2023-01,High risk,2,Morning,2.0,12.0
T3464022,ACC352617,ACC336201,235.37,withdrawal,entertainment,Dubai,pos,0,-0.38,12,0.47,wire_transfer,11.187.4.170,D3539324,2023-01,Medium risk,2,Morning,2.0,13.0
T1846435,ACC494573,ACC780405,1051.55,deposit,retail,Berlin,pos,0,-1.09,12,0.08,ACH,241.233.181.77,D5634386,2023-01,Medium risk,2,Morning,2.0,14.0
T3082627,ACC787368,ACC286368,53.7,payment,utilities,Berlin,atm,0,-0.84,7,0.18,wire_transfer,159.36.150.50,D2191710,2023-01,Low risk,2,Morning,2.0,15.0
T3146580,ACC851921,ACC781474,289.95,withdrawal,other,Sydney,atm,0,-0.84,17,0.53,card,42.234.104.115,D4351658,2023-01,High risk,2,Morning,2.0,15.0
T1386989,ACC971346,ACC418416,890.74,deposit,travel,New York,pos,0,-1.13,12,0.71,UPI,40.201.171.108,D1339620,2023-01,Medium risk,2,Morning,2.0,16.0
T3811171,ACC177099,ACC734737,475.87,deposit,travel,Toronto,pos,0,1.09,15,0.12,UPI,238.53.172.1,D2010029,2023-01,High risk,2,Morning,2.0,17.0
T1317095,ACC736431,ACC873169,813.59,deposit,entertainment,London,mobile,0,-0.67,14,0.14,ACH,173.58.197.88,D3179277,2023-01,Medium risk,2,Morning,2.0,18.0
T327459,ACC177191,ACC326588,410.09,withdrawal,online,London,pos,0,-0.53,1,0.06,UPI,64.25.194.96,D5329290,2023-01,Low risk,2,Morning,2.0,17.0
T505324,ACC174481,ACC728710,267.98,withdrawal,entertainment,Singapore,web,0,-0.45,17,0.42,wire_transfer,188.233.255.83,D3712010,2023-01,High risk,2,Morning,2.0,17.0
T3118308,ACC674329,ACC423485,6.19,transfer,entertainment,London,pos,0,0.35,15,0.24,UPI,192.225.74.142,D8547938,2023-01,High risk,2,Morning,2.0,18.0
T1530715,ACC867639,ACC500969,41.97,payment,online,Sydney,web,0,-0.83,4,0.09,ACH,146.139.166.212,D4554290,2023-01,Low risk,2,Morning,1.0,18.0
T3471404,ACC452646,ACC236369,1161.4,deposit,online,Sydney,web,0,-0.89,10,0.14,wire_transfer,99.50.138.199,D4770146,2023-01,Medium risk,2,Morning,1.0,19.0
T4280315,ACC396756,ACC466977,151.99,payment,travel,London,atm,0,-0.12,14,0.85,card,157.79.148.179,D7170371,2023-01,Medium risk,2,Morning,1.0,19.0
T296866,ACC399334,ACC532956,429.28,withdrawal,restaurant,Singapore,pos,0,1.1,2,0.35,card,144.85.255.153,D1610276,2023-01,Low risk,2,Morning,1.0,20.0
T4242080,ACC532198,ACC185633,44.48,payment,utilities,Berlin,web,0,0.37,10,0.63,card,26.91.141.240,D5923204,2023-01,Medium risk,2,Morning,1.0,19.0
T2567643,ACC239738,ACC669939,515.66,withdrawal,utilities,Berlin,atm,1,2.67,5,0.82,UPI,113.153.106.223,D1643575,2023-01,Low risk,2,Morning,2.0,19.0
T1757563,ACC840739,ACC552259,919.0,deposit,utilities,Toronto,atm,0,-0.38,12,0.81,card,195.61.159.144,D6001066,2023-01,Medium risk,2,Morning,2.0,18.0
T3733656,ACC735335,ACC446975,15.2,payment,entertainment,Berlin,pos,0,1.89,11,0.85,UPI,197.174.112.145,D8484583,2023-01,Medium risk,2,Morning,1.0,18.0
T4008316,ACC546190,ACC505244,94.41,payment,other,London,mobile,0,-0.79,11,0.86,card,34.108.39.57,D5808960,2023-01,Medium risk,2,Morning,1.0,16.0
T2296153,ACC452592,ACC935958,9.26,transfer,other,Toronto,mobile,0,1.51,18,0.68,wire_transfer,44.126.37.20,D7721414,2023-01,High risk,2,Morning,1.0,16.0
T2830053,ACC410883,ACC383929,387.05,withdrawal,utilities,Toronto,web,0,0.07,15,0.26,ACH,156.65.151.187,D2687726,2023-01,High risk,2,Morning,1.0,12.0
T2657090,ACC800352,ACC885292,99.13,payment,other,Singapore,pos,0,0.53,13,0.49,ACH,187.39.126.135,D7018460,2023-01,Medium risk,2,Morning,1.0,13.0
T4603608,ACC324664,ACC227988,310.23,withdrawal,entertainment,Berlin,mobile,0,0.55,11,0.79,UPI,239.51.151.81,D6961366,2023-01,Medium risk,2,Morning,1.0,12.0
T220166,ACC639425,ACC227164,16.94,transfer,utilities,Sydney,pos,0,-0.38,10,0.95,wire_transfer,218.203.160.171,D7327595,2023-01,Medium risk,2,Morning,1.0,13.0
T2557385,ACC888813,ACC425857,1438.93,deposit,travel,Berlin,mobile,0,0.22,15,0.44,wire_transfer,230.39.169.133,D5727015,2023-01,High risk,2,Morning,1.0,14.0
T3828732,ACC374105,ACC598944,19.59,payment,grocery,London,mobile,0,0.62,6,0.01,wire_transfer,88.145.85.111,D8565878,2023-01,Low risk,2,Morning,1.0,13.0
T1218296,ACC614365,ACC960128,1379.0,deposit,retail,Toronto,mobile,0,-0.05,6,0.55,wire_transfer,76.0.65.175,D1436302,2023-01,Low risk,2,Morning,0.0,11.0
T2520018,ACC829967,ACC157143,332.56,withdrawal,online,Toronto,web,0,-0.01,11,0.68,UPI,70.128.72.116,D7946329,2023-01,Medium risk,2,Morning,0.0,11.0
T3149178,ACC510339,ACC647389,191.89,deposit,restaurant,Sydney,pos,0,0.19,7,0.56,UPI,225.33.222.209,D3549575,2023-01,Low risk,2,Morning,0.0,12.0
T3823269,ACC689183,ACC674869,1528.59,deposit,utilities,Toronto,mobile,0,-1.78,9,0.96,wire_transfer,17.102.84.130,D8171438,2023-01,Medium risk,2,Morning,0.0,11.0
T3440903,ACC525981,ACC790609,35.34,withdrawal,other,Sydney,web,0,-2.04,19,0.02,wire_transfer,28.8.38.53,D2379826,2023-01,High risk,2,Morning,0.0,12.0
T1912282,ACC719577,ACC434118,17.52,transfer,utilities,London,web,0,-0.29,18,0.82,ACH,151.110.219.247,D8862596,2023-01,High risk,2,Morning,0.0,12.0
T3356770,ACC431460,ACC891793,4.94,transfer,retail,New York,atm,0,0.15,6,0.37,UPI,85.188.253.35,D7264038,2023-01,Low risk,2,Morning,0.0,13.0
T3022449,ACC555664,ACC191378,161.77,withdrawal,retail,Dubai,web,0,-1.23,15,0.79,UPI,226.108.121.193,D1869018,2023-01,High risk,2,Morning,0.0,14.0
T3104539,ACC114427,ACC101667,15.24,transfer,utilities,London,atm,0,-0.63,13,0.18,ACH,116.82.197.233,D2178149,2023-01,Medium risk,2,Morning,0.0,15.0
T1779869,ACC687128,ACC463248,846.88,deposit,utilities,Berlin,atm,0,-0.65,11,0.41,ACH,5.241.189.120,D9273124,2023-01,Medium risk,2,Morning,0.0,16.0
T3456575,ACC865857,ACC729399,14.95,transfer,retail,London,atm,0,0.03,3,0.92,UPI,70.29.176.175,D8161607,2023-01,Low risk,2,Morning,0.0,15.0
T1992179,ACC580421,ACC361989,84.46,payment,grocery,New York,atm,0,0.99,2,0.19,card,0.92.52.159,D6116953,2023-01,Low risk,2,Morning,0.0,16.0
T4822075,ACC886278,ACC143125,1253.34,deposit,travel,Tokyo,atm,0,-0.21,3,0.09,wire_transfer,130.14.83.9,D9308730,2023-01,Low risk,2,Morning,0.0,16.0
T172387,ACC613645,ACC407484,1667.01,deposit,entertainment,Dubai,pos,0,-0.87,15,0.02,card,110.130.221.49,D4871958,2023-01,High risk,2,Morning,0.0,16.0
T1625968,ACC224076,ACC152543,37.0,transfer,grocery,New York,mobile,0,0.17,8,0.66,wire_transfer,31.105.60.125,D7849869,2023-01,Medium risk,2,Morning,0.0,17.0
T2890897,ACC719335,ACC125852,270.69,deposit,retail,Tokyo,atm,0,0.48,15,0.47,UPI,103.23.125.225,D7356015,2023-01,High risk,2,Morning,0.0,18.0
T2936869,ACC868329,ACC914082,35.2,transfer,travel,New York,mobile,0,0.26,10,0.23,wire_transfer,95.7.66.95,D7366385,2023-01,Medium risk,2,Morning,0.0,19.0
T2540499,ACC207111,ACC765055,99.89,payment,travel,New York,atm,0,0.96,17,0.88,UPI,31.126.140.206,D5712016,2023-01,High risk,2,Morning,0.0,19.0
T280434,ACC830527,ACC327675,0.01,withdrawal,online,Sydney,web,0,0.93,5,0.7,ACH,28.88.140.186,D5297284,2023-01,Low risk,2,Morning,0.0,20.0
T3732964,ACC455198,ACC670851,234.32,withdrawal,utilities,Toronto,web,0,-0.33,2,0.6,wire_transfer,45.70.252.38,D9732585,2023-01,Low risk,2,Morning,0.0,20.0
T2355400,ACC400644,ACC455848,8.62,transfer,travel,New York,mobile,0,-0.51,15,0.04,ACH,62.61.237.192,D8544018,2023-01,High risk,2,Morning,0.0,21.0
T2324841,ACC742370,ACC228878,37.35,withdrawal,restaurant,New York,web,0,-0.62,15,0.06,UPI,229.40.34.211,D7732042,2023-01,High risk,2,Morning,0.0,20.0
T3340032,ACC985195,ACC424775,8.14,transfer,entertainment,New York,atm,1,-1.84,18,0.59,UPI,144.187.8.181,D1262019,2023-01,High risk,2,Morning,1.0,19.0
T1847431,ACC888730,ACC863931,81.2,payment,retail,Berlin,atm,0,0.19,2,0.51,ACH,16.118.207.31,D9463304,2023-01,Low risk,2,Morning,1.0,20.0
T913223,ACC133664,ACC664244,433.77,withdrawal,grocery,Dubai,web,0,0.91,13,0.29,UPI,72.8.43.235,D4106623,2023-01,Medium risk,2,Morning,1.0,21.0
T3922521,ACC949194,ACC732773,277.95,withdrawal,travel,New York,pos,0,0.35,8,0.45,card,26.28.126.240,D6104824,2023-01,Medium risk,2,Morning,1.0,21.0
T5075576,ACC242483,ACC759824,31.72,transfer,travel,Tokyo,mobile,0,-0.1,14,0.27,ACH,176.11.54.2,D3742765,2023-01,Medium risk,2,Morning,1.0,22.0
T2680436,ACC135208,ACC498061,29.34,transfer,travel,London,mobile,0,0.18,20,0.69,UPI,78.59.134.74,D7473193,2023-01,High risk,2,Morning,1.0,22.0
T3496277,ACC181532,ACC973060,28.95,transfer,restaurant,Toronto,web,0,0.95,5,0.16,ACH,179.40.196.225,D9977262,2023-01,Low risk,2,Morning,1.0,21.0
T4635969,ACC806401,ACC467490,226.06,payment,retail,London,pos,0,1.5,9,0.48,UPI,111.191.190.117,D3634109,2023-01,Medium risk,2,Morning,1.0,19.0
T3536693,ACC959024,ACC405282,98.54,payment,entertainment,New York,mobile,0,0.27,4,0.32,UPI,78.208.158.3,D9869976,2023-01,Low risk,2,Morning,1.0,20.0
T2774046,ACC316254,ACC162228,734.35,deposit,online,London,web,0,-0.81,2,0.66,wire_transfer,89.141.182.9,D6216424,2023-01,Low risk,2,Morning,1.0,21.0
T2390412,ACC899642,ACC666454,14.71,transfer,other,Singapore,atm,0,-1.33,16,0.77,wire_transfer,167.69.25.193,D5298912,2023-01,High risk,2,Morning,1.0,22.0
T1117869,ACC915278,ACC725752,27.6,transfer,restaurant,Dubai,pos,0,-0.22,1,0.18,card,120.109.157.202,D4172418,2023-01,Low risk,2,Morning,1.0,23.0
T4621192,ACC338664,ACC656313,1107.85,deposit,restaurant,Tokyo,atm,0,1.0,5,0.46,card,215.133.3.151,D7630918,2023-01,Low risk,2,Morning,1.0,21.0
T4286956,ACC461283,ACC887880,1064.23,deposit,utilities,Toronto,atm,0,0.57,6,0.74,wire_transfer,67.124.152.255,D5435631,2023-01,Low risk,2,Morning,1.0,21.0
T1495835,ACC395468,ACC198176,363.42,deposit,entertainment,Singapore,atm,0,1.4,9,0.79,UPI,167.44.14.236,D9830525,2023-01,Medium risk,2,Morning,1.0,17.0
T1499991,ACC414463,ACC410384,1068.25,deposit,entertainment,London,web,0,-0.53,14,0.21,wire_transfer,241.78.147.29,D9282039,2023-01,Medium risk,2,Morning,1.0,18.0
T1401225,ACC443309,ACC291790,13.54,transfer,travel,London,atm,0,-1.91,3,0.94,card,168.38.76.237,D9754124,2023-01,Low risk,2,Morning,1.0,19.0
T3274912,ACC477573,ACC243169,1116.53,deposit,travel,Dubai,pos,0,0.84,3,0.38,UPI,244.91.88.226,D1095105,2023-01,Low risk,2,Morning,1.0,20.0
T2594890,ACC983849,ACC482434,19.22,transfer,online,Singapore,atm,0,-1.21,16,0.4,UPI,88.243.5.116,D5527783,2023-01,High risk,3,Morning,1.0,20.0
T191323,ACC347101,ACC545434,225.88,withdrawal,restaurant,Dubai,mobile,0,-1.05,6,0.2,card,41.78.238.147,D4046025,2023-01,Low risk,3,Morning,1.0,20.0
T4196782,ACC325129,ACC108777,593.64,withdrawal,entertainment,London,atm,0,0.8,16,0.15,UPI,104.153.170.162,D2966722,2023-01,High risk,3,Morning,1.0,21.0
T3600183,ACC650259,ACC184714,0.01,withdrawal,grocery,Berlin,mobile,0,2.2,16,0.79,wire_transfer,137.64.90.183,D2165907,2023-01,High risk,3,Morning,1.0,22.0
T5085171,ACC571808,ACC878919,1969.87,deposit,travel,Dubai,atm,1,-0.57,11,0.79,card,28.46.138.184,D6129044,2023-01,Medium risk,3,Morning,2.0,22.0
T4580113,ACC182861,ACC571339,365.97,deposit,travel,Sydney,atm,0,-0.69,14,0.1,card,227.9.59.250,D7796635,2023-01,Medium risk,3,Morning,2.0,23.0
T601063,ACC162473,ACC609008,50.73,transfer,restaurant,Sydney,atm,0,0.12,13,0.94,ACH,221.189.35.209,D1247660,2023-01,Medium risk,3,Morning,2.0,24.0
T4551957,ACC830512,ACC312644,0.01,withdrawal,online,London,web,0,-1.49,14,0.62,wire_transfer,13.46.124.37,D6931524,2023-01,Medium risk,3,Morning,2.0,24.0
